test_id,group_id,question,answer_style,answer,reference_evidence,expected_label,manipulation,question_evidence,labels,predicted_label,hallucination_probability,is_correct
20,largest_planet,What is the largest planet in the Solar System?,long,Mars is the largest planet in the Solar System and is a gas giant with a mass greater than all the other planets combined.,Jupiter is the largest planet in the Solar System.,1,planet_substitution,Question: What is the largest planet in the Solar System? Reference evidence: Jupiter is the largest planet in the Solar System.,1,0,0.0005730237,False
21,nineteen_eighty_four,Who wrote the novel 1984?,short,George Orwell wrote the novel 1984.,The dystopian novel 1984 was written by George Orwell.,0,none,Question: Who wrote the novel 1984? Reference evidence: The dystopian novel 1984 was written by George Orwell.,0,0,0.00041116352,True
22,nineteen_eighty_four,Who wrote the novel 1984?,short,Aldous Huxley wrote the novel 1984.,The dystopian novel 1984 was written by George Orwell.,1,author_substitution,Question: Who wrote the novel 1984? Reference evidence: The dystopian novel 1984 was written by George Orwell.,1,0,0.06944052,False
23,nineteen_eighty_four,Who wrote the novel 1984?,long,"George Orwell wrote the novel 1984, a dystopian work about totalitarian surveillance and political control.",The dystopian novel 1984 was written by George Orwell.,0,none,Question: Who wrote the novel 1984? Reference evidence: The dystopian novel 1984 was written by George Orwell.,0,0,0.00020902294,True
24,nineteen_eighty_four,Who wrote the novel 1984?,long,"Aldous Huxley wrote the novel 1984, a dystopian work about totalitarian surveillance and political control.",The dystopian novel 1984 was written by George Orwell.,1,author_substitution,Question: Who wrote the novel 1984? Reference evidence: The dystopian novel 1984 was written by George Orwell.,1,0,0.0010960262,False
25,mona_lisa,Who painted the Mona Lisa?,short,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,0,none,Question: Who painted the Mona Lisa? Reference evidence: The Mona Lisa was painted by Leonardo da Vinci.,0,0,2.6678902e-06,True
26,mona_lisa,Who painted the Mona Lisa?,short,Michelangelo painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,1,artist_substitution,Question: Who painted the Mona Lisa? Reference evidence: The Mona Lisa was painted by Leonardo da Vinci.,1,0,2.9229946e-06,False
27,mona_lisa,Who painted the Mona Lisa?,long,"Leonardo da Vinci painted the Mona Lisa, which is now displayed at the Louvre Museum in Paris.",The Mona Lisa was painted by Leonardo da Vinci.,0,none,Question: Who painted the Mona Lisa? Reference evidence: The Mona Lisa was painted by Leonardo da Vinci.,0,0,1.5683534e-05,True
28,mona_lisa,Who painted the Mona Lisa?,long,"Michelangelo painted the Mona Lisa, which is now displayed at the Louvre Museum in Paris.",The Mona Lisa was painted by Leonardo da Vinci.,1,artist_substitution,Question: Who painted the Mona Lisa? Reference evidence: The Mona Lisa was painted by Leonardo da Vinci.,1,0,2.8462026e-05,False
29,boiling_point,At what temperature does water boil at standard sea-level pressure?,short,Water boils at 100 degrees Celsius at sea level.,"At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,none,"Question: At what temperature does water boil at standard sea-level pressure? Reference evidence: At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,0,2.3310117e-06,True
30,boiling_point,At what temperature does water boil at standard sea-level pressure?,short,Water boils at 80 degrees Celsius at sea level.,"At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,number_substitution,"Question: At what temperature does water boil at standard sea-level pressure? Reference evidence: At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,0,2.6719438e-06,False
31,boiling_point,At what temperature does water boil at standard sea-level pressure?,long,"Water boils at 100 degrees Celsius at standard sea-level pressure, although the boiling point changes when atmospheric pressure changes.","At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,none,"Question: At what temperature does water boil at standard sea-level pressure? Reference evidence: At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,0,4.0066298e-06,True
32,boiling_point,At what temperature does water boil at standard sea-level pressure?,long,"Water boils at 80 degrees Celsius at standard sea-level pressure, although the boiling point changes when atmospheric pressure changes.","At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,number_substitution,"Question: At what temperature does water boil at standard sea-level pressure? Reference evidence: At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,0,5.7003626e-06,False
33,australia_capital,What is the capital of Australia?,short,Canberra is the capital of Australia.,Canberra is the capital city of Australia.,0,none,Question: What is the capital of Australia? Reference evidence: Canberra is the capital city of Australia.,0,0,3.3566214e-06,True
34,australia_capital,What is the capital of Australia?,short,Sydney is the capital of Australia.,Canberra is the capital city of Australia.,1,city_substitution,Question: What is the capital of Australia? Reference evidence: Canberra is the capital city of Australia.,1,0,2.7242993e-05,False
35,australia_capital,What is the capital of Australia?,long,Canberra is the capital of Australia and was selected as a compromise between the larger cities of Sydney and Melbourne.,Canberra is the capital city of Australia.,0,none,Question: What is the capital of Australia? Reference evidence: Canberra is the capital city of Australia.,0,0,1.8657278e-05,True
36,australia_capital,What is the capital of Australia?,long,Sydney is the capital of Australia and was selected as a compromise between the larger cities of Sydney and Melbourne.,Canberra is the capital city of Australia.,1,city_substitution,Question: What is the capital of Australia? Reference evidence: Canberra is the capital city of Australia.,1,0,0.00027201738,False
37,human_chromosomes,How many chromosomes are normally present in a human somatic cell?,short,A human somatic cell normally contains 46 chromosomes.,Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,0,none,Question: How many chromosomes are normally present in a human somatic cell? Reference evidence: Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,0,1,0.9999769,False
38,human_chromosomes,How many chromosomes are normally present in a human somatic cell?,short,A human somatic cell normally contains 48 chromosomes.,Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,1,number_substitution,Question: How many chromosomes are normally present in a human somatic cell? Reference evidence: Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,1,1,0.99999785,True
39,human_chromosomes,How many chromosomes are normally present in a human somatic cell?,long,"A human somatic cell normally contains 46 chromosomes, organized into 23 pairs inherited from the person's biological parents.",Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,0,none,Question: How many chromosomes are normally present in a human somatic cell? Reference evidence: Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,0,0,0.007303445,True
40,human_chromosomes,How many chromosomes are normally present in a human somatic cell?,long,"A human somatic cell normally contains 48 chromosomes, organized into 23 pairs inherited from the person's biological parents.",Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,1,number_substitution,Question: How many chromosomes are normally present in a human somatic cell? Reference evidence: Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,1,0,0.45659664,False
